strain	submitting_lab	originating_lab
A/HongKong/434/1996	other_database_import	
A/NewYork/625/1996	other_database_import	
A/Netherlands/1/1995	other_database_import	
A/Victoria/75/1995	other_database_import	
A/Finland/381/1995	other_database_import	
A/Brisbane/7/1996	who_collaborating_centre_for_reference_and_research_on_influenza	queensland_health_forensic_and_scientific_services_
A/Netherlands/91/1996	other_database_import	
A/NewYork/634/1995	other_database_import	
A/NewYork/639/1995	other_database_import	
A/NewYork/613/1996	other_database_import	
A/NewYork/623/1995	other_database_import	
A/NewYork/618/1995	other_database_import	
A/NewYork/641/1996	other_database_import	
A/NewYork/635/1996	other_database_import	
A/NewYork/628/1995	other_database_import	
A/NewYork/624/1996	other_database_import	
A/NewYork/611/1995	other_database_import	
A/NewYork/612/1995	other_database_import	
A/Paris/908/1997	other_database_import	
A/HongKong/42/1996	other_database_import	
A/Brisbane/8/1996	erasmus_medical_center	erasmus_medical_center
A/NewYork/585/1997	other_database_import	
A/NewYork/558/1997	other_database_import	
A/NewYork/606/1995	other_database_import	
A/NewYork/609/1995	other_database_import	
A/NewYork/610/1995	other_database_import	
A/NewYork/622/1996	other_database_import	
A/NewYork/648/1995	other_database_import	
A/NewYork/647/1995	other_database_import	
A/Lyon/2279/1995	other_database_import	
A/Singapore/1/1996	other_database_import	
A/NewYork/608/1996	other_database_import	
A/Geneva/3958/1996	other_database_import	
A/Lyon/1781/1996	other_database_import	
A/Nice/491/1997	other_database_import	
A/Malaysia/10135/1996	other_database_import	
A/Malaysia/10111/1996	other_database_import	
A/Malaysia/10081/1996	other_database_import	
A/Memphis/24/1995	other_database_import	
A/Malaysia/7145/1995	other_database_import	
A/Malaysia/7832/1995	other_database_import	
A/Tochigi/44/1995	other_database_import	
A/SouthAustralia/1/1995	who_collaborating_centre_for_reference_and_research_on_influenza	institute_of_medical_and_veterinary_science_(imvs)
A/HongKong/3/1995	other_database_import	
A/Finland/338/1995	other_database_import	
A/Shiga/20/1995	other_database_import	
A/Miyagi/29/1995	other_database_import	
A/Finland/339/1995	other_database_import	
A/HongKong/49/1995	other_database_import	
A/Netherlands/178/1995	other_database_import	national_institute_for_public_health_and_the_environment_(rivm)
A/Malaysia/7831/1995	other_database_import	
A/HongKong/20/1996	other_database_import	
A/Niigata/137/1996	other_database_import	
A/Nanchang/933/1995	erasmus_medical_center	erasmus_medical_center
A/Fukushima/114/1996	other_database_import	
A/HongKong/55/1995	other_database_import	
A/HongKong/1/1997	other_database_import	
A/NewYork/592/1996	other_database_import	
A/Perth/9/1997	who_collaborating_centre_for_reference_and_research_on_influenza	pathwest_qe_ii_medical_centre
A/Malaysia/11473/1996	other_database_import	
A/Johannesburg/10/1997	other_database_import	
A/Netherlands/5/1998	other_database_import	
A/NewYork/521/1998	other_database_import	
A/NewYork/518/1998	other_database_import	
A/NewYork/581/1997	other_database_import	
A/NewYork/579/1997	other_database_import	
A/NewYork/580/1996	other_database_import	
A/NewYork/566/1997	other_database_import	
A/NewYork/575/1996	other_database_import	
A/NewYork/594/1996	other_database_import	
A/NewYork/576/1997	other_database_import	
A/NewYork/572/1996	other_database_import	
A/NewYork/583/1997	other_database_import	
A/NewYork/574/1996	other_database_import	
A/HongKong/357/1996	other_database_import	
A/Malaysia/10370/1996	other_database_import	
A/Malaysia/10360/1996	other_database_import	
A/NewYork/597/1997	other_database_import	
A/NewYork/603/1996	other_database_import	
A/NewYork/557/1996	other_database_import	
A/NewYork/554/1996	other_database_import	
A/NewYork/595/1996	other_database_import	
A/Shiga/25/1997	other_database_import	
A/NewYork/556/1996	other_database_import	
A/SouthAfrica/1147/1996-egg	other_database_import	
A/Siena/1/1997	other_database_import	
A/Malaysia/12726/1997	other_database_import	
A/Malaysia/13241/1997	other_database_import	
A/HongKong/358/1996	other_database_import	
A/NewYork/569/1997	other_database_import	
A/NewYork/571/1996	other_database_import	
A/NewYork/582/1996	other_database_import	
A/Fukushima/140/1996	other_database_import	
A/Malaysia/10997/1996	other_database_import	
A/Malaysia/10877/1996	other_database_import	
A/NewSouthWales/16/1999	other_database_import	
A/NewSouthWales/13/1999	other_database_import	
A/NewSouthWales/2/1999	other_database_import	
A/NewYork/548/1998	other_database_import	
A/NewYork/522/1997	other_database_import	
A/NewYork/539/1998	other_database_import	
A/NewYork/517/1998	other_database_import	
A/Netherlands/300/1997	other_database_import	
A/Sydney/5/1997-egg	erasmus_medical_center	erasmus_medical_center
A/Auckland/10/1997	other_database_import	
A/NewYork/545/1997	other_database_import	
A/NewYork/540/1998	other_database_import	
A/NewYork/550/1998	other_database_import	
A/NewYork/527/1998	other_database_import	
A/NewYork/529/1998	other_database_import	
A/NewYork/532/1998	other_database_import	
A/NewYork/526/1997	other_database_import	
A/NewYork/542/1998	other_database_import	
A/NewYork/508/1997	other_database_import	
A/NewYork/511/1997	other_database_import	
A/NewYork/509/1997	other_database_import	
A/NewYork/524/1997	other_database_import	
A/NewYork/519/1998	other_database_import	
A/NewYork/503/1997	other_database_import	
A/NewYork/531/1998	other_database_import	
A/NewYork/512/1998	other_database_import	
A/NewYork/523/1998	other_database_import	
A/NewYork/515/1997	other_database_import	
A/NewYork/516/1997	other_database_import	
A/NewYork/507/1997	other_database_import	
A/NewYork/530/1998	other_database_import	
A/Malaysia/10879/1996	other_database_import	
A/Malaysia/10807/1996	other_database_import	
A/Townsville/2/1999	who_collaborating_centre_for_reference_and_research_on_influenza	queensland_health_forensic_and_scientific_services_
A/NewSouthWales/3/1999	other_database_import	
A/NewSouthWales/17/1999	other_database_import	
A/NewSouthWales/8/1999	other_database_import	
A/NewSouthWales/22/1999	other_database_import	
A/NewSouthWales/6/1999	other_database_import	
A/NewSouthWales/7/1999	other_database_import	
A/NewYork/337/1999	other_database_import	
A/NewSouthWales/5/1999	other_database_import	
A/India/Pun992935/1999	icmr_national_institute_of_virology	icmr_national_institute_of_virology
A/Malaysia/12990/1997	other_database_import	
A/Malaysia/13002/1997	other_database_import	
A/Malaysia/12942/1997	other_database_import	
A/Malaysia/12904/1997	other_database_import	
A/Waikato/9/2000	other_database_import	
A/India/Pun003783/2000	icmr_national_institute_of_virology	icmr_national_institute_of_virology
A/India/Pun003589/2000	icmr_national_institute_of_virology	icmr_national_institute_of_virology
A/Malaysia/17998/1998	other_database_import	
A/Malaysia/18121/1998	other_database_import	
A/Malaysia/18128/1998	other_database_import	
A/Taiwan/384/2001	other_database_import	
A/Netherlands/124/2001	other_database_import	
A/Canterbury/6/2001	other_database_import	
A/Canterbury/36/2001	other_database_import	
A/Canterbury/146/2001	other_database_import	
A/Canterbury/149/2001	other_database_import	
A/NewSouthWales/15/1999	other_database_import	
A/NewSouthWales/19/1999	other_database_import	
A/Netherlands/3/2000	other_database_import	
A/Missouri/NHRC0001/2000	other_database_import	
A/Denmark/205/2000	other_database_import	
A/NewYork/170/2000	other_database_import	
A/NewYork/154/2000	other_database_import	
A/NewYork/433/2000	other_database_import	
A/NewYork/179/1999	other_database_import	
A/NewYork/163/1999	other_database_import	
A/NewYork/427/1999	other_database_import	
A/NewYork/150/2000	other_database_import	
A/Waikato/6/2000	other_database_import	
A/Canterbury/84/2000	other_database_import	
A/NewYork/175/2000	other_database_import	
A/UlanUde/1/2000-egg	other_database_import	centers_for_disease_control_and_prevention
A/NewYork/422/1999	other_database_import	
A/NewYork/439/2000	other_database_import	
A/Denmark/35/2000	other_database_import	
A/NewYork/148/2000	other_database_import	
A/NewYork/147/1999	other_database_import	
A/NewYork/187/2000	other_database_import	
A/Canterbury/179/1999	other_database_import	
A/NewYork/180/2000	other_database_import	
A/NewYork/139/1999	other_database_import	
A/NewYork/430/2000	other_database_import	
A/NewYork/185/1999	other_database_import	
A/Malaysia/10970/1996	other_database_import	
A/Malaysia/10717/1996	other_database_import	
A/Malaysia/10969/1996	other_database_import	
A/NewYork/304/1998	other_database_import	
A/NewYork/282/1999	other_database_import	
A/NewYork/224/1998	other_database_import	
A/NewYork/322/1999	other_database_import	
